,id,prob
0,E10559,0.5207121010230874
1,E4849,0.44085647938900097
2,E3964,0.44085647938900097
3,E542,0.7041215230017901
4,E331,0.8861691028533845
5,E10471,0.980742845180752
6,E9186,0.42793671459711247
7,E5576,0.5764768469149287
8,E9705,0.28204162407165645
9,E7309,0.28204162407165645
10,E476,0.28204162407165645
11,E5217,0.7152521551186212
12,E7653,0.7033011783968519
13,E1530,0.28204162407165645
14,E10379,0.5207121010230874
15,E1516,0.7041215230017901
16,E9418,0.28204162407165645
17,E9388,0.28204162407165645
18,E10737,0.42793671459711247
19,E5290,0.9885921545017412
20,E6010,0.42793671459711247
21,E4307,0.5207121010230874
22,E4548,0.7033011783968519
23,E3030,0.9237481132780149
24,E68,0.44085647938900097
25,E5739,0.28204162407165645
26,E2394,0.28204162407165645
27,E3629,0.9237481132780149
28,E8652,0.9894073160504291
29,E5779,0.4248268963268168
30,E10269,0.9307804213371142
31,E7456,0.6361808706109088
32,E9199,0.7033011783968519
33,E1606,0.9741437413597833
34,E9077,0.7152521551186212
35,E9576,0.41267603864987884
36,E2810,0.8610532335454119
37,E1091,0.930519734462985
38,E2755,0.42793671459711247
39,E1405,0.44085647938900097
40,E2213,0.44085647938900097
41,E1321,0.41267603864987884
42,E10797,0.49899830789804056
43,E7340,0.28204162407165645
44,E9659,0.9875555703486686
45,E1678,0.6361808706109088
46,E9591,0.5045314219318895
47,E6377,0.28204162407165645
48,E10130,0.28204162407165645
49,E5582,0.28204162407165645
50,E9510,0.5991840995841218
51,E4237,0.5991840995841218
52,E10470,0.9268016961495048
53,E7528,0.9999816849816849
54,E2567,0.44085647938900097
55,E6083,0.5764768469149287
56,E6735,0.978300371641728
57,E6800,0.41267603864987884
58,E2293,0.7204448450471403
59,E1633,0.28204162407165645
60,E10659,0.7033011783968519
61,E543,0.44085647938900097
62,E7177,0.28204162407165645
63,E4126,0.42793671459711247
64,E2850,0.28204162407165645
65,E2078,0.7457097930467114
66,E5746,0.28204162407165645
67,E2445,1.0
68,E2958,0.4248268963268168
69,E3497,0.28204162407165645
70,E5069,0.7032422399706162
71,E8995,0.49899830789804056
72,E8220,0.9738334227369808
73,E4354,0.9790257270826656
74,E7578,0.41267603864987884
75,E2122,0.5764768469149287
76,E6661,0.6667974858437363
77,E2582,0.28204162407165645
78,E1836,0.28204162407165645
79,E7881,0.9999816849816849
80,E6685,0.42793671459711247
81,E113,0.42793671459711247
82,E1161,0.28204162407165645
83,E8062,0.28204162407165645
84,E5637,0.49899830789804056
85,E4470,1.0
86,E6905,0.9554106613126603
87,E7553,0.5207121010230874
88,E7773,0.6361808706109088
89,E1991,0.7033011783968519
90,E3997,0.6667974858437363
91,E5326,0.41267603864987884
92,E3076,0.28204162407165645
93,E2018,0.7041215230017901
94,E594,0.28204162407165645
95,E2971,0.887640921921807
96,E6692,0.6361808706109088
97,E3383,1.0
98,E8755,0.42793671459711247
99,E1494,0.9927824213374725
100,E7725,0.7436565536545497
101,E8265,0.6361808706109088
102,E8021,0.28204162407165645
103,E7110,0.6667974858437363
104,E8495,0.9843123629300645
105,E6551,0.41267603864987884
106,E10716,0.28204162407165645
107,E9434,0.41267603864987884
108,E2128,0.9998826281158351
109,E8123,0.42793671459711247
110,E1658,1.0
111,E7504,0.5284086629529148
112,E8552,0.42793671459711247
113,E798,0.28204162407165645
114,E5976,0.49899830789804056
115,E6501,0.28204162407165645
116,E8648,0.42793671459711247
117,E7213,0.7109445789133171
118,E6667,0.42793671459711247
119,E6701,0.28204162407165645
120,E4011,0.6361808706109088
121,E6880,0.28204162407165645
