,id,prob
0,E370,0.50374913
1,E667,0.59640926
2,E3190,2.2944542e-13
3,E848,0.46481767
4,E2161,1.0
5,E1391,1.0
6,E1084,0.37751716
7,E1801,0.93263406
8,E2730,0.98934525
9,E828,0.40616804
10,E1795,0.43547097
11,E1880,0.37751716
12,E1948,0.9999043
13,E1545,0.37751716
14,E2904,0.37751716
15,E2835,0.40616804
16,E2349,0.40616804
17,E2046,0.52604085
18,E1229,0.46481767
19,E2845,0.53772414
20,E2125,1.0
21,E3127,0.37751716
22,E1721,0.9960486
23,E1253,0.40616804
24,E3050,0.43547097
25,E212,0.37751716
26,E3193,1.0
27,E1195,0.48151624
28,E699,0.37751716
29,E2930,0.99022305
30,E963,0.5168404
31,E2848,0.5224121
32,E2261,0.53772414
33,E2091,0.9999999
34,E3113,0.37751716
35,E2717,0.9999075
36,E1775,0.5168404
37,E1922,0.99996436
38,E2239,1.0
39,E1074,0.50374913
40,E552,1.0
41,E1657,0.48151624
42,E943,0.50374913
43,E1139,0.46481767
44,E2663,0.52604085
45,E2992,0.37751716
46,E3111,0.99379563
47,E1885,0.5352234
48,E2428,1.0
49,E1627,0.4925806
50,E2575,0.48151624
51,E824,0.50374913
52,E660,0.37751716
53,E1706,0.37751716
54,E863,0.99940383
55,E1289,0.40616804
56,E389,1.0
57,E802,0.52604085
58,E520,0.93263406
59,E1829,0.95648557
60,E2307,0.997232
61,E566,0.37751716
62,E451,0.37751716
63,E353,0.52604085
64,E201,0.50374913
65,E1736,0.9999747
66,E2320,0.43547097
67,E207,0.85713387
68,E1971,0.5321648
69,E312,0.46481767
70,E1968,0.48151624
71,E1170,0.98573005
72,E625,0.43547097
73,E3170,0.50374913
74,E3087,1.0
75,E2913,0.51377064
76,E2006,0.93263406
77,E133,0.99812835
78,E646,0.73395985
79,E17,0.9999926
80,E1474,0.5168404
81,E1846,0.5352234
82,E1689,0.9997727
83,E1990,0.93263406
84,E374,0.79304254
85,E1027,0.46481767
86,E1428,0.99962723
87,E488,0.46481767
88,E1056,0.878809
89,E1303,0.99998224
90,E1740,0.85713387
91,E2264,0.99710244
92,E1758,0.58876693
93,E8,0.40616804
94,E2298,0.52604085
95,E1731,0.37751716
96,E1475,0.93263406
97,E2510,0.51377064
98,E1857,0.37751716
99,E834,0.43547097
100,E1380,0.85038453
101,E1588,0.48151624
102,E2759,0.9914607
103,E214,0.37751716
104,E2591,0.37751716
105,E2771,0.5291039
106,E493,0.9997296
107,E1977,0.98643667
108,E2355,0.5168404
109,E2498,1.0
110,E2107,0.48151624
111,E2043,0.40616804
112,E2560,0.4925806
113,E1176,1.0
114,E1456,0.50374913
115,E228,0.40616804
116,E622,0.9960574
117,E393,0.50374913
118,E731,0.66186565
119,E1336,0.37751716
120,E2187,0.37751716
121,E177,0.9997296
122,E1541,0.50374913
123,E562,0.95648557
124,E1720,0.43547097
125,E2060,0.50374913
126,E225,0.52604085
127,E2114,0.99997807
128,E1310,0.43547097
129,E2785,0.48151624
130,E3152,0.5352234
131,E1983,0.43547097
132,E445,0.52604085
133,E850,0.43547097
134,E2740,0.9998599
135,E1159,1.0
136,E1505,0.48151624
137,E50,0.5352234
138,E1078,0.50374913
139,E2549,0.37751716
140,E1187,0.50374913
141,E1844,0.4925806
142,E558,0.99141663
143,E2741,0.93263406
144,E1334,0.40616804
145,E3206,0.5321648
146,E1262,0.85038453
147,E3178,0.99446183
148,E2728,0.9887721
149,E2870,0.4964597
150,E2970,1.0
151,E3022,0.9115876
152,E2503,0.43547097
153,E1228,0.43547097
154,E3169,0.37751716
155,E2799,0.99022305
156,E1114,0.5199087
157,E273,0.66186565
158,E688,0.48151624
159,E707,0.48151624
160,E3039,0.50374913
161,E292,0.37751716
162,E975,0.5321648
163,E1476,0.40616804
164,E2247,0.9976992
165,E691,0.73395985
166,E920,0.43547097
167,E1681,0.5291039
168,E475,0.50374913
169,E2699,0.8104414
170,E1201,1.0
171,E2002,0.46481767
172,E2104,1.0
173,E197,0.37751716
174,E309,0.50374913
175,E1108,0.37751716
176,E141,0.52604085
177,E1277,0.50374913
178,E3100,0.50374913
179,E991,0.37751716
180,E1723,0.40616804
181,E1218,0.37751716
182,E1478,0.50374913
183,E637,0.40616804
184,E700,0.8104414
185,E592,0.48151624
186,E587,0.9999995
187,E410,1.0
188,E3029,0.46481767
189,E2332,0.9997875
190,E2257,0.37751716
191,E2857,1.0
192,E232,0.5321648
193,E681,0.37751716
194,E1477,0.40616804
195,E238,0.46481767
196,E2273,0.37751716
197,E813,0.48151624
198,E2016,1.0
199,E1976,0.48151624
200,E2340,0.73395985
201,E1651,0.37751716
202,E3005,0.5352234
203,E2626,0.48151624
204,E1953,0.99999714
205,E1563,1.0
206,E2477,0.50374913
207,E453,0.9973917
208,E2342,0.48151624
209,E1814,0.37751716
210,E794,0.73395985
211,E2221,0.37751716
212,E742,0.37751716
213,E2842,0.406168
214,E2673,0.43547097
215,E1848,0.99739444
216,E754,0.40616804
217,E2605,0.9961683
218,E821,0.40616804
219,E1126,0.43547097
220,E1388,0.50374913
221,E2773,0.46481767
222,E989,0.43547097
223,E1992,0.37751716
224,E506,0.40616804
225,E705,0.37751716
226,E3066,0.50374913
227,E538,0.51377064
228,E844,1.0
229,E2099,0.40616804
230,E1172,0.4964597
231,E967,0.37751716
232,E1692,0.51377064
233,E1660,0.40616804
234,E345,0.9999949
235,E2150,0.48151624
236,E1154,0.5168404
237,E2007,0.37751716
238,E481,1.0
239,E2454,0.37751716
240,E3023,0.9999505
241,E424,0.37751716
242,E199,0.51377064
243,E2678,0.51377064
244,E2497,0.52604085
245,E2181,0.43547097
246,E607,0.48151624
247,E683,0.37751716
248,E19,0.9999993
249,E2803,0.40616804
250,E636,0.9898178
251,E2877,0.43547097
252,E642,0.5199087
253,E1508,0.9115876
254,E2064,0.43547097
255,E1402,0.66186565
256,E2198,0.37751716
257,E680,1.0
258,E2655,0.9999043
259,E830,0.50374913
260,E1132,1.0
261,E1570,0.52604085
262,E1998,0.48151624
263,E1598,0.37751716
264,E2343,0.99999905
265,E1788,0.50374913
266,E964,0.40616804
267,E1239,0.99022305
268,E716,0.9996245
269,E215,0.43547097
270,E1177,0.99996364
271,E946,0.43547097
272,E953,0.37751716
273,E175,0.37751716
274,E808,0.37751716
275,E548,0.37751716
276,E618,0.52604085
277,E366,0.52604085
278,E1504,0.50374913
279,E1151,0.5168404
280,E2387,0.37751716
281,E855,0.46481767
282,E1220,1.0
283,E263,1.0
284,E1989,0.99957806
285,E2158,0.50374913
286,E418,0.51377064
287,E1715,0.40616804
288,E2606,0.50374913
289,E1891,0.9535377
290,E1665,1.0
291,E1843,0.6531426
292,E658,0.5107001
293,E2837,0.40616804
294,E876,0.43547097
295,E2688,0.37751716
296,E511,0.40616804
297,E391,0.43547097
298,E1746,1.0
299,E843,1.0
300,E1029,0.37751716
301,E234,0.9999901
302,E1841,0.43547097
303,E20,0.48151624
304,E2416,0.40616804
305,E783,0.43547097
306,E2991,1.0
307,E2433,0.37751716
308,E319,0.50374913
309,E1578,0.43547097
310,E1137,0.37751716
311,E3080,0.92288965
312,E1312,0.9873848
313,E355,0.51377064
314,E1269,0.37751716
315,E1206,0.37751716
316,E1680,0.51377064
317,E3047,0.51377064
318,E1516,0.66186565
319,E1146,0.43547097
320,E3174,0.99098563
321,E1614,0.37751716
322,E1677,0.9960484
323,E2225,0.48151624
324,E460,0.37751716
325,E1136,0.46481767
326,E907,0.37751716
327,E3133,0.00019055336
328,E1207,0.9535377
329,E3162,0.74733835
330,E2665,0.99651414
331,E2496,0.50374913
332,E1347,0.43547097
333,E744,0.99528307
334,E2558,0.43547097
335,E569,0.37751716
336,E924,0.5620352
337,E1777,0.37751716
338,E1437,0.40616804
339,E1270,0.43547097
340,E2620,0.43547097
341,E2958,0.51377064
342,E2282,0.46481767
343,E1916,0.5168404
344,E3003,0.5199087
345,E2404,0.43547097
346,E921,0.99729115
347,E2736,0.95648557
348,E2723,1.0
349,E2076,1.0
350,E2338,0.40616804
351,E2824,0.37751716
352,E980,0.48151624
353,E2260,0.66186565
354,E1571,0.99598867
355,E2788,0.5199087
356,E779,0.9997875
357,E628,0.40616804
358,E2641,0.99999833
359,E1272,0.37751716
360,E2314,0.43547097
361,E1787,0.48151624
362,E935,0.51377064
363,E62,0.43547097
364,E733,0.5199087
365,E750,0.46481767
366,E2026,0.9925351
367,E1640,0.46481767
368,E940,0.99598867
369,E2779,0.99651414
370,E790,0.46481767
371,E307,0.46481767
372,E2183,0.40616804
373,E2657,0.5199087
374,E3110,1.0
375,E1597,0.37751716
376,E812,0.99530596
377,E1057,0.9887721
